name,type,start_time,duration,"data","error"
"U13C_USART0_RX","data",10.617413,0.00008225,0xD5,
"U13C_USART0_RX","data",10.6174995,0.00008225,0xE5,
"U13C_USART0_RX","data",10.61758625,0.00008225,0x00,
"U13C_USART0_RX","data",10.617673,0.00008225,0x00,
"U13C_USART0_RX","data",10.61775975,0.00008225,0x04,
"U13C_USART0_RX","data",10.6178465,0.00008225,0x00,
"U13C_USART0_RX","data",10.617933,0.00008225,0x04,
"U13C_USART0_RX","data",10.61801975,0.00008225,0x00,
"U13C_USART0_RX","data",10.6181065,0.00008225,0x00,
"U13C_USART0_RX","data",10.61819325,0.00008225,0x00,
"U13C_USART0_RX","data",10.61828,0.00008225,0x00,
"U13C_USART0_RX","data",10.631274,0.00008225,0xD5,
"U13C_USART0_RX","data",10.63136075,0.00008225,0xE5,
"U13C_USART0_RX","data",10.6314475,0.00008225,0x00,
"U13C_USART0_RX","data",10.63153425,0.00008225,0x00,
"U13C_USART0_RX","data",10.631621,0.00008225,0x00,
"U13C_USART0_RX","data",10.6317075,0.00008225,0x00,
"U13C_USART0_RX","data",10.63179425,0.00008225,0x00,
"U13C_USART0_RX","data",10.631881,0.00008225,0x00,
"U13C_USART0_RX","data",10.63196775,0.00008225,0x00,
"U13C_USART0_RX","data",10.6320545,0.00008225,0x00,
"U13C_USART0_RX","data",10.632141,0.00008225,0x00,
"U13C_USART0_TX","data",10.63226875,0.00008225,0xD5,
"U13C_USART0_TX","data",10.6323565,0.00008225,0xE5,
"U13C_USART0_TX","data",10.63245125,0.00008225,0x00,
"U13C_USART0_TX","data",10.632539,0.00008225,0x00,
"U13C_USART0_TX","data",10.63263875,0.00008225,0x0B,
"U13C_USART0_TX","data",10.6327265,0.00008225,0x00,
"U13C_USART0_TX","data",10.632826,0.00008225,0x0D,
"U13C_USART0_TX","data",10.63291375,0.00008225,0x00,
"U13C_USART0_TX","data",10.6330135,0.00008225,0x00,
"U13C_USART0_TX","data",10.63310125,0.00008225,0x00,
"U13C_USART0_TX","data",10.633201,0.00008225,0x02,
"U13C_USART0_RX","data",10.64736625,0.00008225,0xD5,
"U13C_USART0_RX","data",10.64745275,0.00008225,0xE5,
"U13C_USART0_RX","data",10.6475395,0.00008225,0x00,
"U13C_USART0_RX","data",10.64762625,0.00008225,0x00,
"U13C_USART0_RX","data",10.647713,0.00008225,0x01,
"U13C_USART0_RX","data",10.64779975,0.00008225,0x00,
"U13C_USART0_RX","data",10.64788625,0.00008225,0x01,
"U13C_USART0_RX","data",10.647973,0.00008225,0x00,
"U13C_USART0_RX","data",10.64805975,0.00008225,0x00,
"U13C_USART0_RX","data",10.6481465,0.00008225,0x00,
"U13C_USART0_RX","data",10.64823325,0.00008225,0x00,
