name,type,start_time,duration,"data","error"
"U13C_USART0_RX","data",17.7944645,0.00008225,0xD5,
"U13C_USART0_RX","data",17.79455125,0.00008225,0xE5,
"U13C_USART0_RX","data",17.794638,0.00008225,0x00,
"U13C_USART0_RX","data",17.79472475,0.00008225,0x00,
"U13C_USART0_RX","data",17.79481125,0.00008225,0x04,
"U13C_USART0_RX","data",17.794898,0.00008225,0x00,
"U13C_USART0_RX","data",17.79498475,0.00008225,0x04,
"U13C_USART0_RX","data",17.7950715,0.00008225,0x00,
"U13C_USART0_RX","data",17.79515825,0.00008225,0x00,
"U13C_USART0_RX","data",17.79524475,0.00008225,0x00,
"U13C_USART0_RX","data",17.7953315,0.00008225,0x00,
"U13C_USART0_RX","data",17.80527275,0.00008225,0xD5,
"U13C_USART0_RX","data",17.80535925,0.00008225,0xE5,
"U13C_USART0_RX","data",17.805446,0.00008225,0x00,
"U13C_USART0_RX","data",17.80553275,0.00008225,0x00,
"U13C_USART0_RX","data",17.8056195,0.00008225,0x00,
"U13C_USART0_RX","data",17.80570625,0.00008225,0x00,
"U13C_USART0_RX","data",17.80579275,0.00008225,0x00,
"U13C_USART0_RX","data",17.8058795,0.00008225,0x00,
"U13C_USART0_RX","data",17.80596625,0.00008225,0x00,
"U13C_USART0_RX","data",17.806053,0.00008225,0x00,
"U13C_USART0_RX","data",17.80613975,0.00008225,0x00,
"U13C_USART0_TX","data",17.80624275,0.00008225,0xD5,
"U13C_USART0_TX","data",17.80633975,0.00008225,0xE5,
"U13C_USART0_TX","data",17.8064275,0.00008225,0x00,
"U13C_USART0_TX","data",17.806527,0.00008225,0x00,
"U13C_USART0_TX","data",17.80661475,0.00008225,0x06,
"U13C_USART0_TX","data",17.8067145,0.00008225,0x00,
"U13C_USART0_TX","data",17.80680225,0.00008225,0x1B,
"U13C_USART0_TX","data",17.8069025,0.00008225,0x00,
"U13C_USART0_TX","data",17.80699025,0.00008225,0x10,
"U13C_USART0_TX","data",17.80708975,0.00008225,0x00,
"U13C_USART0_TX","data",17.8071775,0.00008225,0x05,
"U13C_USART0_RX","data",17.81635075,0.00008225,0xD5,
"U13C_USART0_RX","data",17.8164375,0.00008225,0xE5,
"U13C_USART0_RX","data",17.81652425,0.00008225,0x00,
"U13C_USART0_RX","data",17.816611,0.00008225,0x00,
"U13C_USART0_RX","data",17.8166975,0.00008225,0x01,
"U13C_USART0_RX","data",17.81678425,0.00008225,0x00,
"U13C_USART0_RX","data",17.816871,0.00008225,0x01,
"U13C_USART0_RX","data",17.81695775,0.00008225,0x00,
"U13C_USART0_RX","data",17.8170445,0.00008225,0x00,
"U13C_USART0_RX","data",17.817131,0.00008225,0x00,
"U13C_USART0_RX","data",17.81721775,0.00008225,0x00,
"U13C_USART0_TX","data",17.8173465,0.00008225,0xD5,
"U13C_USART0_TX","data",17.81743425,0.00008225,0xE5,
"U13C_USART0_TX","data",17.81752575,0.00008225,0x00,
"U13C_USART0_TX","data",17.8176135,0.00008225,0x00,
"U13C_USART0_TX","data",17.81771325,0.00008225,0x06,
"U13C_USART0_TX","data",17.817801,0.00008225,0x00,
"U13C_USART0_TX","data",17.8179005,0.00008225,0x1B,
"U13C_USART0_TX","data",17.81798825,0.00008225,0x00,
"U13C_USART0_TX","data",17.818088,0.00008225,0x10,
"U13C_USART0_TX","data",17.81817575,0.00008225,0x00,
"U13C_USART0_TX","data",17.8182755,0.00008225,0x05,
"U13C_USART0_RX","data",17.91050925,0.00008225,0xD5,
"U13C_USART0_RX","data",17.910596,0.00008225,0xE5,
"U13C_USART0_RX","data",17.91068275,0.00008225,0x00,
"U13C_USART0_RX","data",17.91076925,0.00008225,0x00,
"U13C_USART0_RX","data",17.910856,0.00008225,0x02,
"U13C_USART0_RX","data",17.91094275,0.00008225,0x00,
"U13C_USART0_RX","data",17.9110295,0.00008225,0x4F,
"U13C_USART0_RX","data",17.91111625,0.00008225,0x09,
"U13C_USART0_RX","data",17.91120275,0.00008225,0x00,
"U13C_USART0_RX","data",17.9112895,0.00008225,0xC4,
"U13C_USART0_RX","data",17.91137625,0.00008225,0x00,
"U13C_USART0_TX","data",17.9115335,0.00008225,0xD5,
"U13C_USART0_TX","data",17.911642,0.00008225,0xE5,
"U13C_USART0_TX","data",17.9117295,0.00008225,0x00,
"U13C_USART0_TX","data",17.91182925,0.00008225,0x00,
"U13C_USART0_TX","data",17.911917,0.00008225,0x06,
"U13C_USART0_TX","data",17.91201675,0.00008225,0x00,
"U13C_USART0_TX","data",17.9121045,0.00008225,0x1B,
"U13C_USART0_TX","data",17.912204,0.00008225,0x00,
"U13C_USART0_TX","data",17.91229175,0.00008225,0x10,
"U13C_USART0_TX","data",17.912392,0.00008225,0x00,
