name,type,start_time,duration,"data","error"
"U13C_USART1_RX","data",8.268652,0.00008225,0x00,
"U13C_USART1_RX","data",8.2687385,0.00008225,0x02,
"U13C_USART1_RX","data",8.26882525,0.00008225,0x00,
"U13C_USART1_RX","data",8.268912,0.00008225,0x4F,
"U13C_USART1_RX","data",8.26899875,0.00008225,0x09,
"U13C_USART1_RX","data",8.2690855,0.00008225,0x00,
"U13C_USART1_RX","data",8.269172,0.00008225,0xC4,
"U13C_USART1_RX","data",8.26925875,0.00008225,0x00,
"U13C_USART1_TX","data",8.26936425,0.00008225,0xD5,
"U13C_USART1_TX","data",8.2694525,0.00008225,0xE5,
"U13C_USART1_TX","data",8.26954025,0.00008225,0x00,
"U13C_USART1_TX","data",8.26964,0.00008225,0x00,
"U13C_USART1_TX","data",8.269727,0.00008225,0x02,
"U13C_USART1_TX","data",8.26982725,0.00008225,0x0A,
"U13C_USART1_TX","data",8.269915,0.00008225,0x0E,
"U13C_USART1_TX","data",8.27001525,0.00008225,0x00,
"U13C_USART1_TX","data",8.2701025,0.00008225,0x00,
"U13C_USART1_TX","data",8.27020275,0.00008225,0x00,
"U13C_USART1_TX","data",8.2702905,0.00008225,0x02,
"U13C_USART1_RX","data",8.428453,0.00008225,0xD5,
"U13C_USART1_RX","data",8.4285395,0.00008225,0xE5,
"U13C_USART1_RX","data",8.42862625,0.00008225,0x00,
"U13C_USART1_RX","data",8.428713,0.00008225,0x00,
"U13C_USART1_RX","data",8.42879975,0.00008225,0x02,
"U13C_USART1_RX","data",8.4288865,0.00008225,0x00,
"U13C_USART1_RX","data",8.428973,0.00008225,0x4F,
"U13C_USART1_RX","data",8.42905975,0.00008225,0x09,
"U13C_USART1_RX","data",8.4291465,0.00008225,0x00,
"U13C_USART1_RX","data",8.42923325,0.00008225,0xC4,
"U13C_USART1_RX","data",8.42932,0.00008225,0x00,
"U13C_USART1_TX","data",8.429443,0.00008225,0xD5,
"U13C_USART1_TX","data",8.42953075,0.00008225,0xE5,
"U13C_USART1_TX","data",8.42962825,0.00008225,0x00,
"U13C_USART1_TX","data",8.4297155,0.00008225,0x02,
"U13C_USART1_TX","data",8.4298155,0.00008225,0x02,
"U13C_USART1_TX","data",8.42990325,0.00008225,0xDB,
"U13C_USART1_TX","data",8.430003,0.00008225,0x65,
"U13C_USART1_TX","data",8.43009075,0.00008225,0x00,
"U13C_USART1_TX","data",8.430191,0.00008225,0x00,
"U13C_USART1_TX","data",8.43027875,0.00008225,0x04,
"U13C_USART1_TX","data",8.43037775,0.00008225,0x02,
"U13C_USART1_RX","data",8.66054225,0.00008225,0xD5,
"U13C_USART1_RX","data",8.660629,0.00008225,0xE5,
"U13C_USART1_RX","data",8.66071575,0.00008225,0x00,
"U13C_USART1_RX","data",8.6608025,0.00008225,0x00,
"U13C_USART1_RX","data",8.660889,0.00008225,0x02,
"U13C_USART1_RX","data",8.66097575,0.00008225,0x00,
"U13C_USART1_RX","data",8.6610625,0.00008225,0x4F,
"U13C_USART1_RX","data",8.66114925,0.00008225,0x09,
"U13C_USART1_RX","data",8.661236,0.00008225,0x00,
"U13C_USART1_RX","data",8.6613225,0.00008225,0xC4,
"U13C_USART1_RX","data",8.66140925,0.00008225,0x00,
"U13C_USART1_TX","data",8.66151825,0.00008225,0xD5,
"U13C_USART1_TX","data",8.66161375,0.00008225,0xE5,
"U13C_USART1_TX","data",8.6617015,0.00008225,0x00,
"U13C_USART1_TX","data",8.661801,0.00008225,0x04,
